# GET [h], theta [deg], phi [deg]
225.58826,141.23651,-6.025744
225.58917,141.22286,-6.0430527
225.59007,141.20921,-6.060343
225.59097,141.19555,-6.0776167
225.59187,141.18189,-6.0948722
225.59277,141.16823,-6.1120982
225.59375,141.15351,-6.130648
225.59465,141.13983,-6.147851
225.59555,141.12616,-6.1650234
225.59645,141.11248,-6.1821917
225.59737,141.09879,-6.1993421
225.59827,141.0851,-6.2164872
225.59917,141.07141,-6.2335793
225.60007,141.05771,-6.2507022
225.60097,141.06281,-6.8553894
225.60194,141.06423,-7.6018909
225.60284,141.0585,-8.2956889
225.60374,141.04599,-8.9898063
225.60466,141.02667,-9.6839208
225.60556,141.00056,-10.377826
225.60646,140.96766,-11.071213
225.60736,140.92796,-11.763839
225.60826,140.88148,-12.455415
225.60916,140.82823,-13.145699
225.61008,140.76822,-13.834409
225.61104,140.69606,-14.574066
