#GET [h], theta_SUN [deg], phi_SUN [deg], theta_MOON [deg], phi_MOON [deg], theta_EARTH [deg], phi_EARTH [deg] 
224.86327,122.15701,132.61961,8.3806505,-164.33627,96.560452,127.95554
224.86417,122.17279,132.63201,8.3654034,-164.35748,96.576881,127.96201
224.86507,122.18858,132.64441,8.3501887,-164.37902,96.593325,127.96849
224.86597,122.20437,132.65683,8.3349792,-164.40078,96.609763,127.97499
224.86694,122.22123,132.6696,8.3196195,-164.41971,96.627233,127.98199
224.86784,122.2358,132.67602,8.314468,-164.39603,96.641485,127.9886
224.86874,122.25038,132.68246,8.3093407,-164.37254,96.65575,127.99523
224.86966,122.26495,132.68891,8.3039992,-164.34665,96.670001,128.00189
224.87056,122.27951,132.69535,8.2988891,-164.32336,96.684251,128.00852
224.87146,122.29408,132.7018,8.2938031,-164.3002,96.698507,128.01515
224.87236,122.30865,132.70826,8.2887308,-164.27716,96.71276,128.0218
224.87326,122.32321,132.71472,8.2836715,-164.25425,96.727014,128.02844
224.87416,122.33779,132.72121,8.2786372,-164.23156,96.741286,128.03511
224.87508,122.35236,132.72768,8.2733821,-164.20642,96.755529,128.04179
224.87604,122.36804,132.73466,8.2680803,-164.18329,96.770878,128.04895
224.87694,122.38259,132.74114,8.2630802,-164.16084,96.785122,128.0556
224.87785,122.39717,132.74765,8.2579953,-164.13742,96.799387,128.0623
224.87875,122.41173,132.75415,8.253022,-164.11531,96.813643,128.06898
224.87965,122.42628,132.76065,8.2480626,-164.09322,96.827882,128.07565
224.88055,122.44084,132.76716,8.2431225,-164.0713,96.84213,128.08233
224.88145,122.45539,132.77367,8.2381913,-164.04952,96.856375,128.08901
224.88235,122.46995,132.78019,8.2332741,-164.02787,96.870622,128.0957
224.88327,122.4845,132.78672,8.2281597,-164.00379,96.884854,128.10243
224.88423,122.47836,132.7771,8.210807,-163.87368,96.878685,128.09181
224.88513,122.46539,132.76261,8.1906017,-163.71509,96.86577,128.07601
224.88605,122.45245,132.74818,8.1702752,-163.5535,96.852882,128.06028
224.88695,122.43946,132.7337,8.1502232,-163.39352,96.839962,128.04448
224.88785,122.4265,132.71927,8.130252,-163.23304,96.827072,128.0287
224.88875,122.41351,132.70483,8.1103404,-163.07171,96.814149,128.0129
224.88965,122.40055,132.69039,8.0905215,-162.90988,96.801257,127.99711
